"품목코드","품목분류","모델명","정식품목","세부사양","메모","작성자","작성일자","수정일자","최근사용자"
"20050418110228","01.SolidWorks 관련",SolidWorks Edu. Edition Stand-alone,SolidWorks Edu. Edition Stand-alone," - SolidWorks
 - SolidWorks eDrawings Professional
 - 3D Instant Website
 - FeatureWorks
 - SolidWorks Animator
 - SolidWorks PhotoWorks
 - SolidWorks Toolbox
 - SolidWorks Utilities
 - Task Scheduler
 - SolidWorks ScadTo3D
 - SolidWorks Workgroup PDM
 - SolidWorks Routing
 - CircuitWorks
 - SolidWorks Simulation
 - SolidWorks Motion
 - TolAnalyst
 - Sub Service 1 Year","1. SolidWorks의 기본 Bundle 및 공급가격은 본사(SolidWorks Corp.) 가격정책 및 신버전 출시에 의해 변경 될 수 있습니다.
2. 교육기관용 라이센스(Edu. License)는 교육 및 연구활동의 목적 이외의 일반 기업체에서는 사용할 수 없습니다.",dwkang,2005-04-18 00:00:00.000,2014-12-11 00:00:00.000,shpark
"20050621115241","00.Subscription Service",Reinstallation Fee,Reinstallation Fee (Without Backdating per seat)," - SS 만료 후, 재 계약 시 발생되는 추가 비용
 - SS 계약일로 부터 1년간","",hsjo,2005-06-21 00:00:00.000,2015-01-28 00:00:00.000,admin
"20050621134253","08.기타",Steelhead 2010,Steelhead 2010 (2U type)," - SHA-02010-010
 - 150G Storage
 - 4Mbps WAN
 - 1300 TCP Connections","",hsjo,2005-06-21 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20050621134433","08.기타",Steelhead 3010,Steelhead 3010-010 (3U type)," - SHA-03010-010
 - 250G Storage
 - 10Mbps WAN
 - 2400 TCP Connections","",hsjo,2005-06-21 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20050623154724","01.SolidWorks 관련",SOLIDWORKS Subscription Service,SOLIDWORKS Standard Subscription Service 3 years," - 홈페이지 ID 발급/ 기술자료 지원
 - 방문 지원
 - On-Line Support
 - 차기 버전 무상 Upgrade
 - 업그레이드 교육 (1seat당 1명 기준)
 - 본사 라이브러리 및 기술자료 다운로드 
 - 계약기간 : 3년간","",admin,2005-06-23 00:00:00.000,2019-08-19 00:00:00.000,ckjung
"20050726151940","06.AutoCAD 관련",AutoCAD,AutoCAD Mechanical 2007,"  - 원시DWG를 제공하여 AutoCAD 사용자와 쉽게 설계 및 데이터를 교환         
  - 사용자 표준 라이브러리 구축 기능 
  - 국제 표준에 따른 80만개의 표준 기계 부품
  - 공학 계산 기능 : 축, 베어링, FEM 해석
  - 다중 도면 작업
","",jmlee,2005-07-26 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20050726151951","06.AutoCAD 관련",AutoCAD,AutoCAD LT 2011 EKTS DVD - Sub 포함,"- 기존 제품의 도면과 100% DWG 호환
- 연관 치수 기입
- 전환공간 연관 치수 기입
- 블록 속성 편집기
- 도면층 변환기
- 문자 측정
- AUTO LISP 지원 안됨
- NetWork 지원 안됨, iges 파일 지원 안됨
- 1year Sub-Scription Service 제공","",jmlee,2005-07-26 00:00:00.000,2014-04-08 00:00:00.000,ktkim
"20050906195901","03.ND 관련",nodeDATA,nodeDESK," - 서버 설정 및 폴더 관리
 - 프로젝트 생성 및 관리
 - 리비전 관리
 - 데이타 조회
 - 결재선 지정 및 도면 결재
 - BOM 관리 및 아이템 등록
","",hsjo,2005-09-06 00:00:00.000,2011-09-15 00:00:00.000,ksehee
"20050906200016","03.ND 관련",nodeDATA,nodeMANAGER," - 조직 추가 및 변경
 - 사용자 추가 및 변경
 - 조직 및 사용자별 권한 부여 
 - 문서 속성 추가
 - 프로젝트 및 카타고리 생성
 - 로그파일 저장
","",hsjo,2005-09-06 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20051118101142","06.AutoCAD 관련",AutoCAD,AutoCAD 한글판 network," - 능률화된 표준 관리 및 데이터 교환 무결성
 - 향상된 팀 공동 작업
 - 간편한 통합 및 고급 라이센스 관리
 - 강력한 CAD 플랫폼
 * 협력적인 설계 환경
    - 향상된 웹으로 출판
    - i-drop™ 기술
    - eTransmit
    - DWG 파일을 읽기 전용 DWF 파일로 변환하는 ePlot
    - 향상된 속성 추출
    - 쉽게 최근에 사용한 파일 미리보기 및 열기
    - 팀 공동 작업을 위한 회의 시작
","",jmlee,2005-11-18 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20060508160108","07.SolidWorks 교육관련",SolidWorks Basic 교육,SolidWorks Basic 교육 패키지,"1.SolidWorks Basic 교육 (4일 교육)
2.세부 항목
    1일차
       개요
       스케치
       기초파트 모델링
       주조 모델링
    2일차
       회전피처
       패턴
       편집 & 수정
       설계변경
       쉘 및 보강대
    3일차
       파트의 설정
       설계변수 테이블 및 수식
       바텀업 방식 어셈블리
       어셈블리 사용
       eDrawing
    4일차
      도면화 준비
      도면시트 및 도면뷰
      중심표시, 중심선, 치수
      주석추가
      도면시트와 템플릿
      설정 과 어셈블리 도면뷰
      BOM 테이블
      실행성능 및 표시문제
      도면참조 및 비교 

3.교재 및 점심 식사 제공 포함","
",admin,2006-05-08 00:00:00.000,2016-06-20 00:00:00.000,kylee
"20060508160355","07.SolidWorks 교육관련",SolidWorks Office 교육,SolidWorks Office 교육 패키지,"1.SolidWorks Office 교육
2.세부 교육내용
   1일차
     PhotoWorks
     FeatureWorks
   2일차
     Animator
     Utility
     Toolbox
3.교재 및 점심식사 제공 포함","",admin,2006-05-08 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20060508160730","07.SolidWorks 교육관련",SolidWorks Advanced  파트 교육,SolidWorks Advanced  파트 교육 패키지,"1. SolidWorks Advanced  '파트' 교육
2. 교육 요약 : 기본교육에서 다루지 않은 고급기능 및 사용하면서 나왔던 문제점 해결
3. 세부 교육내용
       Advanced Modeling 
       Sweep & Loft
       라이브러리
       디자인 기능
4. 본사 교재 및 점심식사 제공 포함
","",admin,2006-05-08 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20060508160748","07.SolidWorks 교육관련",SolidWorks Advanced  어셈블리 교육,SolidWorks Advanced  어셈블리 교육 패키지,"1. SolidWorks Advanced  '어셈블리' 교육
2. 교육 요약 : 기본교육에서 다루지 않은 고급기능 및 사용하면서 나왔던 문제점 해결
3. 세부 교육내용
       Advanced Assembly
       Top-Down 방식 
       Configuration

4. 본사 교재 및 점심식사 제공 포함
","",admin,2006-05-08 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20060508161302","07.SolidWorks 교육관련",판금 및 용접 교육,판금 및 용접 교육 패키지,"1. 판금 및 용접 교육
    교육기간 : 2일
2. 교육 요약 : 판금 및 용접구조물을 사용하기 위한 기능 교육
3. 세부교육내용
      판금파트 모델링
      파트를 판금으로 변환
      어셈블리 상황에서 판금 모델링
      용접구조물
4. 본사 교재 및 점심식사 제공 포함
","",admin,2006-05-08 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20060508161939","07.SolidWorks 교육관련",COSMOS Designer 교육,COSMOS Designer 교육 패키지,"1. COSMOS Designer교육 (Office Premium)
    교육기간 : 1 일
2. 교육 요약 : 정적해석 방법 프로그램 교육
3. 상세 항목
     구조해석
     어셈블리의 구조해석
        경계 조건
        메쉬
        결과
4. 교재 및 점심식사 제공 포함

","",admin,2006-05-08 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20060508162116","07.SolidWorks 교육관련",COSMOSMotion 교육 (Office Premium),COSMOSMotion 교육 패키지,"1. COSMOSMotion교육 (Office Premium)
    교육기간 : 1 일
2. 교육 요약 : 동적해석 프로그램 교육
3. 상세 항목
     어셈블리의 구동해석
        경계 조건
        메쉬
        결과
4. 교재 및 점심식사 제공 포함","",admin,2006-05-08 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20070108154942","05.PDMWorks Enterprise 관련",SOLIDWORKS PDM Professional,SOLIDWORKS PDM Professional Contributor," - 데이터 관리 목적으로 독립적인 실행 (Ex 구매부, 관리부)
 - 설계 데이터 관리 
 - 데이터 통합 환경 제공
 - 다양한 권한 부여 설정 
 - Automated revision control
 - BOM 데이터 관리 
 - 파일 & 폴더 템플릿 기능
 - 기존 프로젝트 재활용 
 - Automated process control(ECO/ECN)","",jihong,2007-01-08 00:00:00.000,2018-12-27 00:00:00.000,ksllkd
"20070108155242","05.PDMWorks Enterprise 관련",PDMWorks Enterprise Contributor Web 2007,PDMWorks Enterprise Contributor Web 2007," - Basic file management for individuals
 - Secure access to engineering data
 - Automated revision control
 - Greater design re-use
 - Automated process control (ECO/ECN)
 - Web Access","",jihong,2007-01-08 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20070108160826","05.PDMWorks Enterprise 관련",SOLIDWORKS PDM Professional,SOLIDWORKS PDM Professional Viewer," - 데이터 서버에 있는 파일에 대한 뷰어
 - 파일 데이터 속성 정보 확인
 - 워크플로우 전자 결재 가능
 - 1 Seat 구입이 5 User 사용가능","",jihong,2007-01-08 00:00:00.000,2018-12-27 00:00:00.000,ksllkd
"20070109204403","05.PDMWorks Enterprise 관련",PDMWorks Enterprise For AutoCAD,PDMWorks Enterprise For AutoCAD," - Basic file management for individuals
 - Secure access to engineering data
 - Automated revision control
 - Greater design re-use
 - Automated process control(ECO/ECN)
 - AutoCAD DWG Files Check in/out
 - AutoCAD Add-ins(2004 Version and Up)
","",jihong,2007-01-09 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20070110191818","06.AutoCAD 관련","",Upgrade AutoCAD 2002 to AutoCAD 2007, - Include Subscription Service - 1Year,"",jihong,2007-01-10 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20070222103434","01.SolidWorks 관련",Upgrade SOLIDWORKS to SOLIDWORKS Office Profession,Upgrade SOLIDWORKS Standard to SOLIDWORKS Professional,"","",jihong,2007-02-22 00:00:00.000,2019-08-19 00:00:00.000,ckjung
"20070222103559","01.SolidWorks 관련",Upgrade SOLIDWORKS to SOLIDWORKS Office Premium,Upgrade SOLIDWORKS Standard to SOLIDWORKS Premium," - Part Design Module
 - Assembly Design Module
 - Drawing Module
 - Sheetmetal Design Module
 - Surface Design Module
 - SolidWorks Explorer
 - DWG Editor (2D CAD용 : 별도로 실행 가능)
 - Simulation X Press (단품 구조해석)
 - Flow X Press (유동의 흐름 Viewing)
 - DFM XPress (가공 시 에러 발생 부분 분석)
 - DriveWorks XPress (유사한 제품 시리즈 생성)
 - SolidWorks eDrawings Professional
 - SolidWorks Utilities(데이타 비교)
 - SolidWorks Toolbox (라이브러리)
 - FeatureWorks (작업 이력 생성)
 - PhotoWorks (실사 이미지 제작)
 - 3D Instant Website(웹게시판)
 - Task Scheduler(작업 스케줄러)
 - Design Checker(도면 비교 분석)
 - SolidWorks Workgroup PDM(이력관리 프로그램)
 - SolidWorks Motion(구동 해석)
 - SolidWorks Simulation (설계자용 구조해석)
 - SolidWorks Routing (파이프와 배선, 하네스 설계)
 - CircuitWorks(ECAD 데이타 호환)
 - TolAnalyst(공차해석)
 - SolidWorks ScadTo3D(3D 스캔data를 3D 파일로 변환)
 - 해석 교육 (2일) : 무상
 - 1년간 유지보수 무상 : On/Off-Line 기술 지원 및 업그레이드",SWPr Subs. Service 1 Year 포함,jihong,2007-02-22 00:00:00.000,2019-08-19 00:00:00.000,ckjung
"20070502180728","08.기타",Partsolution Professional,Partsolution Professional,"- Part Connection
- Shaft Generator
- Traverse Path & Kinematics
- PartFEM Display
- PartBOM
- Part Data Management
- Similar geometric search","",chulmin,2007-05-02 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20070525105334","04.HW 관련",HP - xw4400,HP - xw4400,"-  ET115AV  HP xw4400 Workstation 
-  AH004AV#AB1  Microsoft Windows XP Pro 32-bit OS
-  RB192AV  Intel Core 2 Duo E6600 2.40 4MB/1066 CPU
-  AH013AV#AB1  HP xw4400 Workstation Localization Kit
-  AG946AV  NVIDIA Quadro FX1500 256MB PCIe Graphics
-  AG992AV  HP 2GB (2x1GB) DDR2-667 ECC RAM
-  AG953AV  HP 160GB SATA 3Gb/s NCQ 7200 1st HDD
-  AG984AV  HP 16X DVD+/-RW DL LightScribe 1st Drive
-  AG938AV  HP 1.44MB Floppy Disk Drive
-  AH038AV  HP USB Optical Scroll Mouse
-  EZ390AV#AB1  HP USB Standard Keyboard
 
 
 
 
  
 
 
 
  
","",chulmin,2007-05-25 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20C82ABF85296F488C744A37F9F5B171","","",- GRADIUS Client License (200 User Lience),"(1) 차단 - 업무 이외의 프로그램 및 인터넷 사이트 접속 차단
(2) 감시 - 업무 이외의 프로그램 및 인터넷 사이트 접속 기록 보기
(3) 녹화 - 정보유출 시점 동영상 녹화 및 재현
(4) 보고 - 유출 또는 유사 시도 관련 보고 및 통계 보고
(5) 정책 - 보안규정의 설정과 수정 및 지속적인 보안 운영","",sjh,2014-12-26 00:00:00.000,2014-12-26 00:00:00.000,sjh
"20D0F75E54035C47A257B5FDB4281B51","11.기타Software",백신,AhnLap V3 IS 8.0 Platinum,단가조정예정임,"",misjid,2009-07-06 00:00:00.000,2009-08-20 00:00:00.000,misjid
"20EEA1076E59E6489E9E03CB71DD4F55","11.기타Software",RedHat Enterprise Linux Server 6,"RedHat Enterprise Linux Server 6, Standard","보안서버용 OS-RedHat
Standard 1~2 Socket
Standard는 하루 8시간 기준 AS 적용입니다.
주의
 - 24시간을 위해서는 Premiunm 급을 구매하셔야 합니다.
 - 만약, server에 CPU Socket이 4개인데 1~2 soecket용으로 구매를 하시면 불법 S/W 대상입니다. cpu 개수와는 무관한 O/S 제품입니다.","Server의 Socket 개수와 구매한 RedHat 소켓 개수가 틀리면 불법 소프트웨어로 분류될 수 있다.

예: 구매 소켓 1~2인데 서버 소켓은 4개면 불법임.

제안시 주의하세요.",ktkim,2013-11-27 00:00:00.000,2014-02-05 00:00:00.000,ktkim
"21ED7108F97B464B95CC3A97786B74C9","02.해석 제품",SOLIDWORKS Flow Simulation HVAC Module,SOLIDWORKS Flow Simulation HVAC Module,"[Fluid and Solid Properties]
 - Library of building materials
 - Additional database of solids
[Environment]
 - Radiation: spectrum and absorption in solids
 - Comfort parameters 
  (MRT, operative temp, PMV, PPD, ADPI, draft temp, CRE, and LAQI)","",admin,2015-02-05 00:00:00.000,2015-02-12 00:00:00.000,jekim
"24164F743AD13B43BEB14281E54D18D1","09.제품관리","",DesignSTAR Professional,"","",admin,2007-08-29 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"24F48701716BDC4D8613DEEDB5111FE5","11.기타Software",ADASMS,Adams Flex,"","Adams Flex
Paid-up  11,800,000
E&S         2,360,000",ktkim,2014-03-03 00:00:00.000,2014-03-03 00:00:00.000,ktkim
"2751302193FC634FAB8F119D933938F8","06.AutoCAD 관련",Autocad Inventor,Autocad Inventor,"","",ktkim,2013-11-22 00:00:00.000,2013-11-22 00:00:00.000,ktkim
"27AA5D0FFD2B6C4B9EBB9CE185907A40","09.제품관리","",SolidWorks Simulation Software,"","",admin,2007-08-29 00:00:00.000,2008-11-03 00:00:00.000,mihwa
"27B49703D495D340997ABBA0E4FB59F5","13. 3DEXPERIENCE Platform",EMC,Electromagnetics Engineer,"","",ksehee,2022-01-18 00:00:00.000,2022-02-28 00:00:00.000,kimhj
"281E443B9B3E4844BAFEE108406573B1","01.SolidWorks 관련",SolidWorks Drawings 교재,SolidWorks Drawings 교재," 1장. 도면 시트 및 도면뷰, 2장. 치수, 3장. 주석, 4장. 시트 형식과 템플릿, 5장. 어셈블리 도면뷰, 6장. BOM 및 테이블, 7장. 실행 성능 및 표시 문제, 8장. 도면 참조 및 비교, 부록A: 도면화 준비, 부록B: 도면 시트 및 도면뷰, 부록C: 중심 표시 및 중심선, 부록D: 치수, 부록E: 주석, 부록F: 시트 형식과 템플릿, 부록G: 어셈블리 도면뷰, 부록H: BOM 및 테이블, 부록I: 설정","",shpark,2010-05-19 00:00:00.000,2010-05-19 00:00:00.000,shpark
"291AA102492B0F4E9DA66F1EC14FC87F","02.해석 제품",SolidWorks Simulation,Upgrade SOLIDWORKS Premium to SOLIDWORKS Simulation Professional,"*SOLIDWORKS Premium의 Linear Static Analysis 포함
[Simulation Capability]
 - Thermal Analysis
 - Frequency Analysis
 - Buckling Analysis
 - Drop Test Analysis
 - Fatigue Analysis
 - Pressure Vessel Design Analysis
 - Design Study Analysis
 - Time / Event Based Motion Simulation
[결과 도구]
 - 변형된 형상을 SolidWorks 파트로 저장 
 - 모션 해석의 결과를 정적 해석 스터디에서 불러오기
 - 열전달 해석 스터디에서 정적 해석 스터디 온도 불러오기
[결과 공통]
 - HTML 및 DOC 보고서 형식
 - 시뮬레이션 결과의 eDrawings 게시
 - BMP, JPEG, VRML, XGL 또는 AVI 파일로 플롯 저장 
 - 시뮬레이션 라이브러리 파일/템플릿
 - 다른 FEA 시스템으로 내보내기",SWPr with SWSimP Subs. Service 1 Year 포함,shpark,2010-02-22 00:00:00.000,2015-02-13 00:00:00.000,jekim
"2965995AE2C72745A9F26D50FAEACF49","01.SolidWorks 관련",SOLIDWORKS MBD Standard,SOLIDWORKS MBD Standard,"","",ckjung,2016-12-28 00:00:00.000,2016-12-28 00:00:00.000,ckjung
"29A564706879EF4A951030B05C46AF59","00.Subscription Service","",nodeDATA Technical Support Ⅱ," - nodeDATA Technical SupportⅠ포함
 - 기본 라이브러리 구축 (협의 필요)
     - ToolBox
     - 구멍 가공 마법사
     - 재질 라이브러리 
 - 그 외 라이브러리 구축 시 별도 협의","",admin,2015-01-28 00:00:00.000,2015-01-29 00:00:00.000,ksehee
"2A42A275E1BC9045AE618FEF79E1C9E2","07.SolidWorks 교육관련",기계장비설계컨설팅,기계장비설계컨설팅,"","",admin,2008-01-08 00:00:00.000,2008-01-08 00:00:00.000,admin
"2C67FC79B4714B4D954AE0237DCF43A8","06.AutoCAD 관련",AutoCAD Mechanical 2014 - Sub 포함,AutoCAD Mechanical 2014 - Sub 포함,"- AutoCAD 2014
- 700,000개의 표준 부품과 피처
- 제조용으로 확장된 도구 모음
- 국제 제도 표준의 지원
- 연관된 품번기호 및 재료명세서(BOM)
- 1year Sub-Scription Service 제공

* Subscription
- 최신 기술지원
- 공인 기술지원 (오토데스크 엔지니어)/교육
- 법적 이전버전 사용권한 부여
- 전용 웹사이트에서 License 사용 현황 확인가능
- Community 서비스 제공
- 원격지원
- 3단계 하위버전 사용가능 ( Sub. 종료후 최종 구매 버전만 사용, 단속 되었을경우 최종 버전 이외에는 불법으로 간주 됨)","",shpark,2010-10-27 00:00:00.000,2014-03-13 00:00:00.000,ktkim
"2CBDBABCC36CB24FBA758C329482B007","09.제품관리","",SolidWorks Flow Simulation on Electronics Module," - Joule Heating
 - Two-Resistor Components (2R-Model)
 - Heat Pipes
 - Printed Circuit Boards (PCB)
 - Extended Library Features
 - Improved Fan Functionality

","",jekim,2010-12-28 00:00:00.000,2011-02-22 00:00:00.000,jekim
"2D9E119C24A83A4986F6A92489E69B86","13. 3DEXPERIENCE Platform",FGM,Durability and Mechanics Engineer,"","",ksehee,2022-01-18 00:00:00.000,2022-02-28 00:00:00.000,kimhj
"2DF614B083D12E4980CCBC6038B309CC","12.전략제품(보안)",SecureDISK,SecureDISK CAD(10user),"  - 데몬		
    - 인증 및 운영용 데몬		
    - 파일 서버 제어용 데몬		
  - 문서		
    - Database Layout		
    - 관리자용 매뉴얼		
    - 설치 및 Setting","",sjh,2014-07-14 00:00:00.000,2014-07-14 00:00:00.000,sjh
"2E372677301C2A4AA0EA29E4F52BDE1D","12.전략제품(보안)",MirageWorks,MirageWorks Control Center(MCC),"- 1 Server License
- 유지보수 금액은 도입가의 15%","",admin,2014-02-05 00:00:00.000,2014-02-06 00:00:00.000,ktkim
"2E4A5064FB618248AAFA6D8AFC90314D","01.SolidWorks 관련","",SOLIDWORKS Premium Term 1year,"","",dnlee,2023-01-18 00:00:00.000,2023-01-18 00:00:00.000,dnlee
"2E892D7B03A13F44A461A9A0618F1E46","00.Subscription Service",SOLIDWORKS PDM Standard Viewer Subscription,SOLIDWORKS PDM Standard Viewer Subscription,"","",intia,2016-03-25 00:00:00.000,2016-03-25 00:00:00.000,intia
"2E8998478DEC38439F50202D5B377519","12.전략제품(보안)",ESDS S12F,ESDS S12F DAS," Controller : Single Controller 
 Disk Bay : 12Bay ( MAX : 84Bay ) 
 HDD : 8ea ( 2TB SATA * 8 ) 
 Memory : 4GB 
 Interface : 8Gb FC * 4ea 
 Power Supply : Two Redundant  
 Form factor : 2U , 19inch 
 RAID Level : 0,1,3,5,6,10,30,50,60 
 Local Replication : SnapShot , Volum Mirror / Copy 
 Management : Embedded RAID Watch 
 Notification : Mail , Fax , LAN Broadcast  
OS Support : Windows Server 2003/2008/2008 R2
                   2012/ 2012 R2/ Hyper-V /Rad Hat
                   SUSE / AIX / Vmware /Citrix
",Direct Attach Storage - DAS,ktkim,2014-05-09 00:00:00.000,2014-05-09 00:00:00.000,ktkim
"2EED5BBEBBA5B143A41505E9A6FBB089","12.전략제품(보안)",인건비,개발,- 구축 범위 및 고객 요청에 의해 결정,"",ktkim,2014-03-18 00:00:00.000,2014-03-18 00:00:00.000,ktkim
"3116F82FC4071F4F898B69245494EABD","13. 3DEXPERIENCE Platform",SEI,Simulation Collaborator,- 해석 결과 공유,"",ksehee,2022-01-18 00:00:00.000,2022-01-18 00:00:00.000,ksehee
"314443004EF76E458A4655352D7731A9","01.SolidWorks 관련",SOLIDWORKS,SOLIDWORKS Premium," - SOLIDWORKS Design Software (Part, Assembly, Drawing)
 - Sheetmetal Design Module (판금)
 - Surface Design Module (곡면 모델링)
 - SOLIDWORKSs Explorer
 - Flow XPress (유동의 흐름 Viewing)
 - DFM XPress (가공 시 에러 발생 부분 분석)
 - DriveWorks XPress (유사한 제품 시리즈 생성)
 - Physical Simulation and Animation (동영상 제작)
 - SOLIDWORKS eDrawings
 - SOLIDWORKS Utilities (데이타 비교)
 - FeatureWorks (작업 이력 생성)
 - 3D 파단도
 - 3D Instant Website (웹게시판)
 - SOLIDWORKS eDrawings Professional
 - SOLIDWORKS Toolbox (라이브러리)
 - PhotoView360 (실사 이미지 제작)
 - Task Scheduler (작업 스케줄러)
 - Design Checker (도면 비교 분석)
 - SOLIDWORKS PDM Standard (설계 데이터 관리 프로그램)
 - TolAnalyst (공차해석)
 - SOLIDWORKS ScadTo3D (3D 스캔data를 3D 파일로 변환)
 - SOLIDWORKS Visualize Standard (Rendering_이미지)
 - CircuitWorks (ECAD 데이타 호환)
 - Costing (제품 원가 계산)
 - SOLIDWORKS Motion (구동 해석)
 - SOLIDWORKS Simulation (설계자용 구조해석)
 - SOLIDWORKS Routing (파이프와 배선, 하네스 설계)
 - Sustainability
 - Assembly Costing (제품 원가 계산)
 - Surface 전개","",jhkim,2008-09-24 00:00:00.000,2019-08-19 00:00:00.000,ckjung
"31665ECA155873439CBB2D5464FB957B","04.HW 관련",Interface,SX mini-GBIC,"Mini-GBIC, SFP, 1000BaseSX, LC Connector, 550m 		transmission with 50/125 μm MMF and 275m 			transmission with 62.5/125 μm MMF													
","",misjid,2009-05-08 00:00:00.000,2009-05-18 00:00:00.000,misjid
"325582CE11612946B79618E5C51235C6","00.Subscription Service",SOLIDWORKS PDM,SOLIDWORKS PDM Professional CAD Editor Subscription Service," - EPDM 제품은 SS 만료 시, 신규 구매를 해야 함.
 - 설치 매뉴얼 제공
 - 차기 버전 Upgrade 1회
 - On-Line 기술 지원 (전화 및 원격지원)
 - nodeDATA 교육 (1 Seat 당 1명 기준)
 - nodeDATA On-Line 교육(Webcast)
 - nodeDATA 세미나
 - nodeDATA 홈페이지 로열 회원 등급 부여
    - 기술 문서 및 동영상 열람
 - 최신 뉴스레터 제공
 - Disable Request Service(라이선스 재 활성)
 - DX TOOL 제공
 - SOLIDWORKS Customer Portal 이용 
    - Service Request / Enhancement Request / Knowledge Base
 - SOLIDWORKS Beta 체험 및 Awards
 - 계약기간 : 1년간 (2015.mm.dd ~ 2016.mm.dd)
 - 대상 S/N :","",admin,2011-06-09 00:00:00.000,2018-11-30 00:00:00.000,intia
"32EFCD438A0B564C8EF8A85E6FED0279","13. 3DEXPERIENCE Platform",SSU,Structural Mechanics Engineer,"- Advanced Linear 해석
- 고유 진동 해석
- 정상 상태 열해석
- 선형 좌굴 해석
- 하모닉 해석
- 모달 동적 해석
- 비선형 정적 해석
- 비선형 동적 해석(Implicit)
- 비정상상태 열해석
- General Contact
- 비선형 동적 해석(Explicit)
- 비선형 좌굴 해석
- 임의 진동 해석
- Complex Frequency
- Sub-modeling","",admin,2020-10-15 00:00:00.000,2022-01-18 00:00:00.000,ksehee
"33B5090F8DC8714B9A262F45E2921EAB","02.해석 제품",SolidWorks Plastics,Upgrade SOLIDWORKS Plastics Standard to SOLIDWORKS Plastics Premium,"*SOLIDWORKS Plastics Standard 기능 포함
[Simulation Capabilities]
 - 보압단계(두 번째 단계 사출)
 - 러너 균형 맞춤, 다중 게이트
 - 코인젝션, 다중샷
 - 인서트 오버몰딩
 - 보조가스, 섬유해석
 - 반응 사출 금형(RIM; 열경화성 수지)
 - 복굴절, 밸브 게이트 (순차 사출)
 - 냉각 라인 해석
 - 변형 해석
[Model Geometry]
 - 러너 설계 마법사, 핫 & 콜드 러너
 - 다중 캐비티 금형, 패밀리 금형
 - 냉각 라인, 배플 & 버블러,  형상 적응형 냉각 수로
 - 금형 인서트
[Results]
 - 싱크 마크 프로파일
 - 체적 추축
 - 파트 냉각 시간
 - 냉각 완료시 파트 온도
 - 냉각 완료시 금형 온도
 - 잔류 응력에 의한 변형
 - 자동 보고서 : MS office word, powerpoint, HTML
 - SOLIDWORKS SIMULATION Premium과 결과 호환","",jekim,2015-02-13 00:00:00.000,2015-02-13 00:00:00.000,jekim
"33B69AF2D7E5C44783D1782B007C78A7","04.HW 관련",Interface,LX mini-GBIC,"Mini-GBIC, SFP, 1000BaseLX, LC connector, 			10km~20km transmission with SMF and 550m 			transmission with MMF													
","",misjid,2009-05-08 00:00:00.000,2009-05-18 00:00:00.000,misjid
"3431D9B3110BC043B420DD79E3133A51","00.Subscription Service",SOLIDWORKS Simulation Standard Subscription Servic,SOLIDWORKS Simulation Standard Subscription Servic," - 설치 매뉴얼 제공
 - 차기 버전 Upgrade 1회
 - On-Line 기술 지원 (전화 및 원격지원)
 - nodeDATA 교육 (1 Seat 당 1명 기준)
    - 쿠폰 2장 제공
 - nodeDATA On-Line 교육(Webcast)
 - nodeDATA 세미나
 - nodeDATA 홈페이지 로열 회원 등급 부여
    - 기술 문서 및 동영상 열람
 - 최신 뉴스레터 제공
 - Disable Request Service(라이선스 재 활성)
 - DX TOOL 제공
 - SOLIDWORKS Customer Portal 이용 
    - Service Request / Enhancement Request / Knowledge Base
 - SOLIDWORKS Beta 체험 및 Awards
 - 계약기간 : 1년간 (2015.mm.dd ~ 2016.mm.dd)
 - 대상 S/N :","",kylee,2015-10-27 00:00:00.000,2021-01-19 00:00:00.000,ksd2046
"350071B60FE76944A87496D5420E6D01","01.SolidWorks 관련",elecworks core,elecworks core," - 직관적인 전기 배선도 Software
 - 전기, PLC 배선도 자동화
 - 배선도 프로젝트 관리
 - 연관 배선도 양방향 업데이트
 - 전기, PLC 배선도 라이브러리 제공
 - single line 구성, diagram 작성
 - cable 구성 및 간편한 wire 속성확인 및 선택
 - cable 연결정보 확인, 변경정보 자동 Update
 - 구성 부품 BOM확인
","",chuls,2012-01-05 00:00:00.000,2012-01-05 00:00:00.000,chuls
"35506D434A902F4B8565A92AFEE5DBA6","09.제품관리","",SolidWorks,"","",admin,2007-08-29 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"3593F00C292C74409F73177B47E4A815","04.HW 관련",H-700,"3DISON H-700","","",sjh,2014-12-04 00:00:00.000,2014-12-04 00:00:00.000,sjh
